"id","age"
1000012,60
1000029,74
1000031,59
1000047,68
1000050,80
1000068,52
1000073,66
1000085,65
1000094,64
1000101,71
1000119,62
1000122,48
1000136,55
1000145,65
1000158,60
1000160,51
1000174,59
1000187,60
1000193,59
1000208,54
1000214,50
1000220,74
1000237,50
1000243,59
1000251,64
1000262,74
1000279,66
1000286,71
1000295,70
1000300,73
1000313,56
1000328,53
1000335,61
1000344,65
1000356,65
1000369,71
1000372,55
1000381,51
1000397,61
1000403,62
1000411,64
1000425,70
1000432,69
1000448,56
1000454,61
1000467,60
1000476,62
1000489,69
1000490,63
1000509,70
1000517,68
1000526,60
1000534,71
1000542,74
1000555,58
1000563,75
1000578,50
1000580,65
1000591,72
1000602,74
1000615,73
1000621,63
1000633,63
1000649,50
1000657,50
1000664,61
1000670,58
1000688,75
1000696,58
1000705,57
1000718,72
1000723,70
1000730,58
1000741,68
1000759,57
1000766,65
1000777,58
1000784,75
1000792,49
1000804,68
1000816,56
1000827,54
1000839,52
1000840,77
1000853,61
1000865,
1000871,69
1000882,71
1000898,67
1000907,75
1000910,58
1000924,57
1000938,53
1000946,67
1000952,54
1000961,73
1000975,
1000983,61
1000999,55
1001005,54
1001018,76
1001023,72
1001030,64
1001041,74
1001059,71
1001066,61
1001077,67
1001084,68
1001092,63
1001100,63
1001113,61
1001128,56
1001135,75
1001144,66
1001156,73
1001169,68
1001172,71
1001181,66
1001197,62
1001206,59
1001212,73
1001229,59
1001231,52
1001247,63
1001250,68
1001268,52
1001273,67
1001285,54
1001294,68
1001309,57
1001317,58
1001326,71
1001334,50
1001342,67
1001355,57
1001363,56
1001378,58
1001380,52
1001391,67
1001407,71
1001410,62
1001424,64
1001438,73
1001446,63
1001452,53
1001461,55
1001475,48
1001483,64
1001499,76
1001503,67
1001511,54
1001525,53
1001532,65
1001548,64
1001554,61
1001567,62
1001576,63
1001589,52
1001590,59
1001608,78
1001614,75
1001620,67
1001637,71
1001643,70
1001651,52
1001662,62
1001679,65
1001686,53
1001695,57
1001704,52
1001716,71
1001727,51
1001739,54
1001740,62
1001753,75
1001765,71
1001771,71
1001782,75
1001798,53
1001802,68
1001815,72
1001821,59
1001833,58
1001849,62
1001857,59
1001864,69
1001870,56
1001888,59
1001896,53
1001901,66
1001919,74
1001922,67
1001936,70
1001945,69
1001958,69
1001960,67
1001974,71
1001987,73
1001993,75
1002000,65
1002013,70
1002028,51
1002035,60
1002044,71
1002056,73
1002069,71
1002072,62
1002081,69
1002097,61
1002105,66
1002118,50
1002123,76
1002130,62
1002141,75
1002159,63
1002166,63
1002177,68
1002184,62
1002192,63
1002209,54
1002217,57
1002226,54
1002234,58
1002242,52
1002255,55
1002263,70
1002278,67
1002280,65
1002291,72
1002306,72
1002312,68
1002329,64
1002331,66
1002347,50
1002350,70
1002368,68
1002373,50
1002385,67
1002394,72
1002402,58
1002415,62
1002421,57
1002433,47
1002449,71
1002457,57
1002464,62
1002470,58
1002488,66
1002496,65
1002508,70
1002514,62
1002520,74
1002537,64
1002543,76
1002551,75
1002562,56
1002579,60
1002586,61
1002595,60
1002603,64
1002611,59
1002625,72
1002632,70
1002648,60
1002654,57
1002667,60
1002676,69
1002689,67
1002690,67
1002701,57
1002719,66
1002722,67
1002736,59
1002745,59
1002758,65
1002760,54
1002774,56
1002787,60
1002793,66
1002807,73
1002810,57
1002824,72
1002838,64
1002846,70
1002852,54
1002861,51
1002875,76
1002883,56
1002899,57
1002904,52
1002916,65
1002927,62
1002939,69
1002940,70
1002953,63
1002965,50
1002971,70
1002982,59
1002998,64
1003002,63
1003015,54
1003021,65
1003033,72
1003049,55
1003057,71
1003064,62
1003070,69
1003088,67
1003096,59
1003103,65
1003111,48
1003125,59
1003132,70
1003148,71
1003154,54
1003167,51
1003176,67
1003189,63
1003190,71
1003204,68
1003216,70
1003227,66
1003239,49
1003240,64
1003253,60
