conv,fc,test_error
elu,elu,5.8703e-03
elu,elu-elu-sigmoid,5.07471e-03
elu,relu,5.63274e-03
elu,relu-relu-sigmoid,4.94398e-03
elu,rrelu,6.51503e-03
elu,rrelu-rrelu-sigmoid,4.62623e-03
elu,sigmoid,4.59878e-03
elu,tanh,5.43681e-03
elu,tanh-tanh-sigmoid,4.90718e-03
leaky-relu,elu,6.07665e-03
leaky-relu,leaky-relu,5.79899e-03
leaky-relu,relu,6.0099e-03
leaky-relu,rrelu,5.78544e-03
leaky-relu,sigmoid,4.79853e-03
leaky-relu,tanh,5.4483e-03
relu,elu,5.48648e-03
relu,elu-elu-sigmoid,5.04433e-03
relu,leaky-relu,5.62048e-03
relu,relu,5.32886e-03
relu,relu-relu-sigmoid,4.73497e-03
relu,rrelu,7.9083e-03
relu,rrelu-rrelu-sigmoid,5.11599e-03
relu,sigmoid,4.62562e-03
relu,tanh,5.44474e-03
relu,tanh-tanh-sigmoid,5.16817e-03
rrelu,elu,5.79110e-03
rrelu,elu-elu-sigmoid,4.8298e-03
rrelu,leaky-relu,5.59102e-03
rrelu,relu,5.39207e-03
rrelu,relu-relu-sigmoid,5.17617e-03
rrelu,rrelu,6.74397e-03
rrelu,sigmoid,4.53733e-03
rrelu,tanh,5.26405e-03
rrelu,tanh-tanh-sigmoid,4.77006e-03
sigmoid,elu,6.31331e-03
sigmoid,leaky-relu,5.87229e-03
sigmoid,relu,6.07121e-03
sigmoid,rrelu,5.85350e-03
sigmoid,sigmoid,5.41486e-03
sigmoid,tanh,5.62208e-03
tanh,elu,5.25361e-03
tanh,elu-elu-sigmoid,4.61189e-03
tanh,leaky-relu,5.17287e-03
tanh,relu,5.40968e-03
tanh,relu-relu-sigmoid,4.21152e-03
tanh,rrelu,5.70315e-03
tanh,rrelu-rrelu-sigmoid,4.39361e-03
tanh,sigmoid,4.05694e-03
tanh,tanh,4.75643e-03
tanh,tanh-tanh-sigmoid,4.24033e-03
